LAB_ID,CTDEEP LabID,STA_SEQ,Station_Name,YLat,XLong,Rep,Habitat,Device,Subsample Rep,LAB_NAME,TAXON_NAME,LIFE STAGE,ABUNDANCE,Sample_Date,SampleMo,SampleYr,TaxonNameCurrent,VisitNum
26069,11-B-177,16938,South Branch Park River,41.7339,-72.7117,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,8,11/21/2011,11,2011,Tvetenia vitracies group,26069_11_21_2011_1_First
26003,11-B-139,14248,Hop Brook,41.4987,-73.0537,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,3,11/14/2011,11,2011,Tvetenia vitracies group,26003_11_14_2011_1_First
6448.1-15,12-B-012,14551,Coginchaug River,41.4435,-72.6882,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,2,9/17/2012,9,2012,Tvetenia vitracies group,6448.1-15_9_17_2012_1_First
6448.1-11,12-B-010,14153,Coginchaug River,41.5547,-72.6737,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,6,9/17/2012,9,2012,Tvetenia vitracies group,6448.1-11_9_17_2012_1_First
6448.1-17,12-B-014,14441,Salmon River,41.5742,-72.4294,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,6,9/18/2012,9,2012,Tvetenia vitracies group,6448.1-17_9_18_2012_1_First
6448.1-47,12-B-035,16112,Hemlock Valley Brook,41.4283,-72.4226,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,9/21/2012,9,2012,Tvetenia vitracies group,6448.1-47_9_21_2012_1_First
6448.1-45,12-B-033,14396,Pine Brook,41.5079,-72.4952,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,7,9/21/2012,9,2012,Tvetenia vitracies group,6448.1-45_9_21_2012_1_First
6448.1-60,12-B-041,14841,FARMINGTON RIVER,41.8257,-72.9295,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,2,9/24/2012,9,2012,Tvetenia vitracies group,6448.1-60_9_24_2012_1_First
6448.1-55,12-B-039,14451,Shetucket River,41.7002,-72.1823,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,2,9/24/2012,9,2012,Tvetenia vitracies group,6448.1-55_9_24_2012_1_First
6448.1-58,12-B-040,14197,FARMINGTON RIVER,41.7508,-72.8717,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,4,9/24/2012,9,2012,Tvetenia vitracies group,6448.1-58_9_24_2012_1_First
6448.1-20,12-B-017,16324,Dickinson Creek,41.5575,-72.442,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,2,9/18/2012,9,2012,Tvetenia vitracies group,6448.1-20_9_18_2012_1_First
6448.1-23,12-B-019,14721,Shunock River,41.4101,-71.8452,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,9/19/2012,9,2012,Tvetenia vitracies group,6448.1-23_9_19_2012_1_First
6448.1-34,12-B-028,14401,Pocotopaug Creek,41.5352,-72.5182,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,P,1,9/19/2012,9,2012,Tvetenia vitracies group,6448.1-34_9_19_2012_1_First
6448.1-34,12-B-028,14401,Pocotopaug Creek,41.5352,-72.5182,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,9/19/2012,9,2012,Tvetenia vitracies group,6448.1-34_9_19_2012_1_First
6448.1-38,12-B-030,14433,Roaring Brook,41.665,-72.6045,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,2,9/20/2012,9,2012,Tvetenia vitracies group,6448.1-38_9_20_2012_1_First
6448.1-31,12-B-025,16121,Flat Brook,41.5544,-72.4523,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,16,9/19/2012,9,2012,Tvetenia vitracies group,6448.1-31_9_19_2012_1_First
6448.2-29,12-B-064,16066,Farmington River,41.914,-72.765,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/2/2012,10,2012,Tvetenia vitracies group,6448.2-29_10_2_2012_1_First
6448.2-22,12-B-059,15854,Muddy River,41.4151,-72.8012,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,P,1,10/1/2012,10,2012,Tvetenia vitracies group,6448.2-22_10_1_2012_1_First
6448.3-1,12-B-066,14710,Shepaug River,41.683397,-73.298268,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/2/2012,10,2012,Tvetenia vitracies group,6448.3-1_10_2_2012_1_First
6448.2-8,12-B-047,14207,French River,42.0248,-71.8843,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,2,9/25/2012,9,2012,Tvetenia vitracies group,6448.2-8_9_25_2012_1_First
6448.2-13,12-B-051,15176,Natchaug River,41.7569,-72.1523,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,9/26/2012,9,2012,Tvetenia vitracies group,6448.2-13_9_26_2012_1_First
6448.2-10,12-B-049,14609,Quinebaug River,41.9081,-71.9096,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,9/25/2012,9,2012,Tvetenia vitracies group,6448.2-10_9_25_2012_1_First
6448.2-21,12-B-058,14706,Whitford Brook,41.3928,-71.9604,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/1/2012,10,2012,Tvetenia vitracies group,6448.2-21_10_1_2012_1_First
6448.2-18,12-B-056,16734,Hempstead Brook,41.3722,-72.0456,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,P,1,10/1/2012,10,2012,Tvetenia vitracies group,6448.2-18_10_1_2012_1_First
6448.3-4,12-B-068,15530,Weekeepeemee River,41.5575,-73.2155,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/2/2012,10,2012,Tvetenia vitracies group,6448.3-4_10_2_2012_1_First
6448.3-7,12-B-071,14461,Sandy Brook (Still River),41.9685,-73.0331,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,2,10/3/2012,10,2012,Tvetenia vitracies group,6448.3-7_10_3_2012_1_First
6448.3-18,12-B-080,16258,West Branch Farmington River,41.9735,-73.0209,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,2,10/3/2012,10,2012,Tvetenia vitracies group,6448.3-18_10_3_2012_1_First
6448.3-16,12-B-079,15792,West Branch Farmington River,41.9602,-73.0178,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/3/2012,10,2012,Tvetenia vitracies group,6448.3-16_10_3_2012_1_First
6448.3-20,12-B-082,14392,Pequabuck River,41.6738,-72.8977,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,P,1,10/4/2012,10,2012,Tvetenia vitracies group,6448.3-20_10_4_2012_1_First
6448.3-20,12-B-082,14392,Pequabuck River,41.6738,-72.8977,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,2,10/4/2012,10,2012,Tvetenia vitracies group,6448.3-20_10_4_2012_1_First
6448.3-19,12-B-081,15825,West Branch Farmington River,41.9168,-72.989,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,2,10/3/2012,10,2012,Tvetenia vitracies group,6448.3-19_10_3_2012_1_First
6448.5-17,12-B-130,15312,Beaver Brook,41.409952,-72.329059,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/15/2012,10,2012,Tvetenia vitracies group,6448.5-17_10_15_2012_1_First
6448.5-13,12-B-126,15020,Eightmile River,41.43,-72.3392,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/15/2012,10,2012,Tvetenia vitracies group,6448.5-13_10_15_2012_1_First
6448.4-27,12-B-111,15179,Eightmile River,41.4671,-72.3372,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/12/2012,10,2012,Tvetenia vitracies group,6448.4-27_10_12_2012_1_First
6448.6-19,12-B-154,14479,Trout Brook,41.7314,-72.7231,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,8,10/22/2012,10,2012,Tvetenia vitracies group,6448.6-19_10_22_2012_1_First
14330,13-B-089,14413,Quinnipiac River,41.528244,-72.856272,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,10/7/2013,10,2013,Tvetenia vitracies group,14330_10_7_2013_1_First
14334,13-B-024,14441,Salmon River,41.5742,-72.4294,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/19/2013,9,2013,Tvetenia vitracies group,14334_9_19_2013_1_First
14326,13-B-143,14394,Pequonnock River,41.2343,-73.1838,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,10/21/2013,10,2013,Tvetenia vitracies group,14326_10_21_2013_1_First
14354,13-B-125,14486,Wepawaug River,41.236,-73.0573,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,10/15/2013,10,2013,Tvetenia vitracies group,14354_10_15_2013_1_First
14348,13-B-052,14458,Still River,41.4389,-73.401,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,2,9/26/2013,9,2013,Tvetenia vitracies group,14348_9_26_2013_1_First
14344,13-B-019,14450,Shepaug River,41.5489,-73.3308,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/19/2013,9,2013,Tvetenia vitracies group,14344_9_19_2013_1_First
14278,13-B-015,14251,Housatonic River,41.8806,-73.3654,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/18/2013,9,2013,Tvetenia vitracies group,14278_9_18_2013_1_First
14302,13-B-002,14319,Naugatuck River,41.7361,-73.1054,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/16/2013,9,2013,Tvetenia vitracies group,14302_9_16_2013_1_First
14310,13-B-046,14361,Norwalk River,41.1359,-73.426,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/25/2013,9,2013,Tvetenia vitracies group,14310_9_25_2013_1_First
14418,13-B-022,15312,Beaver Brook,41.409952,-72.329059,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,2,9/19/2013,9,2013,Tvetenia vitracies group,14418_9_19_2013_1_First
14438,13-B-018,15530,Weekeepeemee River,41.5575,-73.2155,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,3,9/19/2013,9,2013,Tvetenia vitracies group,14438_9_19_2013_1_First
14379,13-B-060,14706,Whitford Brook,41.3928,-71.9604,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,10/1/2013,10,2013,Tvetenia vitracies group,14379_10_1_2013_1_First
14377,13-B-055,14721,Shunock River,41.4101,-71.8452,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/30/2013,9,2013,Tvetenia vitracies group,14377_9_30_2013_1_First
14360,13-B-043,14554,Norwalk River,41.2268,-73.4246,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,2,9/25/2013,9,2013,Tvetenia vitracies group,14360_9_25_2013_1_First
14395,13-B-016,15005,Bantam River,41.7588,-73.1841,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/19/2013,9,2013,Tvetenia vitracies group,14395_9_19_2013_1_First
14410,13-B-010,15087,Muddy River,41.3668,-72.8543,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,7,9/17/2013,9,2013,Tvetenia vitracies group,14410_9_17_2013_1_First
620.1-019,14-B-020,14609,Quinebaug River,41.9081,-71.9096,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,3,9/17/2014,9,2014,Tvetenia vitracies group,620.1-019_9_17_2014_1_First
620.1-018,14-B-019,14410,Quinebaug River,42.022,-71.9528,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/17/2014,9,2014,Tvetenia vitracies group,620.1-018_9_17_2014_1_First
620.1-021,14-B-022,14451,Shetucket River,41.7002,-72.1823,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,9,9/18/2014,9,2014,Tvetenia vitracies group,620.1-021_9_18_2014_1_First
620.1-014,14-B-015,16734,Hempstead Brook,41.3722,-72.0456,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/17/2014,9,2014,Tvetenia vitracies group,620.1-014_9_17_2014_1_First
620.1-026,14-B-028,16066,Farmington River,41.914,-72.765,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,6,9/19/2014,9,2014,Tvetenia vitracies group,620.1-026_9_19_2014_1_First
620.1-028,14-B-030,14479,Trout Brook,41.7314,-72.7231,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,3,9/19/2014,9,2014,Tvetenia vitracies group,620.1-028_9_19_2014_1_First
620.1-027,14-B-029,14197,FARMINGTON RIVER,41.7508,-72.8717,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,12,9/19/2014,9,2014,Tvetenia vitracies group,620.1-027_9_19_2014_1_First
620.1-024,14-B-026,15892,Shetucket River,41.6175,-72.085,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,3,9/18/2014,9,2014,Tvetenia vitracies group,620.1-024_9_18_2014_1_First
620.1-004,14-B-004,14582,Willimantic River,41.7623,-72.2691,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,2,9/15/2014,9,2014,Tvetenia vitracies group,620.1-004_9_15_2014_1_First
620.1-006,14-B-007,14720,Green Fall River,41.4568,-71.8169,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,7,9/16/2014,9,2014,Tvetenia vitracies group,620.1-006_9_16_2014_1_First
620.1-002,14-B-002,14469,Tankerhoosen River,41.8201,-72.5033,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/15/2014,9,2014,Tvetenia vitracies group,620.1-002_9_15_2014_1_First
620.1-001,14-B-001,14147,Broad Brook,41.9147,-72.549,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/15/2014,9,2014,Tvetenia vitracies group,620.1-001_9_15_2014_1_First
620.1-012,14-B-013,16295,Latimer Brook,41.3695,-72.2002,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,8,9/17/2014,9,2014,Tvetenia vitracies group,620.1-012_9_17_2014_1_First
620.1-008,14-B-009,14379,Pawcatuck River,41.3978,-71.8422,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,14,9/16/2014,9,2014,Tvetenia vitracies group,620.1-008_9_16_2014_1_First
620.1-050,14-B-055,14461,Sandy Brook (Still River),41.9685,-73.0331,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,4,9/24/2014,9,2014,Tvetenia vitracies group,620.1-050_9_24_2014_1_First
620.1-046,14-B-051,15530,Weekeepeemee River,41.5575,-73.2155,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/24/2014,9,2014,Tvetenia vitracies group,620.1-046_9_24_2014_1_First
620.1-049,14-B-054,15792,West Branch Farmington River,41.9602,-73.0178,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,11,9/24/2014,9,2014,Tvetenia vitracies group,620.1-049_9_24_2014_1_First
620.1-048,14-B-053,15825,West Branch Farmington River,41.9168,-72.989,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,6,9/24/2014,9,2014,Tvetenia vitracies group,620.1-048_9_24_2014_1_First
620.1-061,14-B-067,15499,West Branch Salmon Brook,41.94096,-72.834302,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,2,9/25/2014,9,2014,Tvetenia vitracies group,620.1-061_9_25_2014_1_First
620.1-059,14-B-065,16400,North Branch Park River,41.797,-72.72,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/25/2014,9,2014,Tvetenia vitracies group,620.1-059_9_25_2014_1_First
620.1-043,14-B-048,14450,Shepaug River,41.5489,-73.3308,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/23/2014,9,2014,Tvetenia vitracies group,620.1-043_9_23_2014_1_First
620.1-039,14-B-043,14825,Naugatuck River,41.6743,-73.0695,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,9,9/23/2014,9,2014,Tvetenia vitracies group,620.1-039_9_23_2014_1_First
620.1-040,14-B-045,14390,Pequabuck River,41.6742,-72.9619,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,9/23/2014,9,2014,Tvetenia vitracies group,620.1-040_9_23_2014_1_First
